video_number,video_url,author,comment,likes,published_time,comment_length,case_folding,text_cleaning,normalized_text,tokens,stopwords_removed,stemmed,clean_comment,cluster
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@intelektis_hok,Up,1,6 bulan yang lalu,2,up,up,up,['up'],['up'],['up'],up,0
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@In_Xun,Guru gembul pakar apa?,1,5 bulan yang lalu,22,guru gembul pakar apa?,guru gembul pakar apa,guru gembul pakar apa,"['guru', 'gembul', 'pakar', 'apa']","['guru', 'gembul', 'pakar']","['guru', 'gembul', 'pakar']",guru gembul pakar,1
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@captain_caveman21,Judol judol isi komenya judol semua😂,0,6 bulan yang lalu,36,judol judol isi komenya judol semua😂,judol judol isi komenya judol semua,judol judol isi komenya judol semua,"['judol', 'judol', 'isi', 'komenya', 'judol', 'semua']","['judol', 'judol', 'isi', 'komenya', 'judol']","['judol', 'judol', 'isi', 'komenya', 'judol']",judol judol isi komenya judol,1
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@farisaikido3513,Banyak banget komen judol,0,6 bulan yang lalu,25,banyak banget komen judol,banyak banget komen judol,banyak banget komen judol,"['banyak', 'banget', 'komen', 'judol']","['banget', 'komen', 'judol']","['banget', 'komen', 'judol']",banget komen judol,0
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@ratnazuhra1753,Kalau suka nyimak itu dibilang introvert. Padahal kita cuma suka mendengar dan ngamati.,0,6 bulan yang lalu,87,kalau suka nyimak itu dibilang introvert. padahal kita cuma suka mendengar dan ngamati.,kalau suka nyimak itu dibilang introvert padahal kita cuma suka mendengar dan ngamati,kalau suka nyimak itu dibilang introvert padahal kita cuma suka mendengar dan ngamati,"['kalau', 'suka', 'nyimak', 'itu', 'dibilang', 'introvert', 'padahal', 'kita', 'cuma', 'suka', 'mendengar', 'dan', 'ngamati']","['suka', 'nyimak', 'dibilang', 'introvert', 'suka', 'mendengar', 'ngamati']","['suka', 'nyimak', 'bilang', 'introvert', 'suka', 'dengar', 'ngamati']",suka nyimak bilang introvert suka dengar ngamati,1
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@sipedrijancuk,gokil👍,0,6 bulan yang lalu,6,gokil👍,gokil,gokil,['gokil'],['gokil'],['gokil'],gokil,0
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@ClottedCream-s7f,Terpopuler GA RU DA HO KI Member baru pasti jepee❤,0,6 bulan yang lalu,50,terpopuler ga ru da ho ki member baru pasti jepee❤,terpopuler ga ru da ho ki member baru pasti jepee,terpopuler ga ru da ho ki member baru pasti jepee,"['terpopuler', 'ga', 'ru', 'da', 'ho', 'ki', 'member', 'baru', 'pasti', 'jepee']","['terpopuler', 'ru', 'da', 'ho', 'ki', 'member', 'jepee']","['populer', 'ru', 'da', 'ho', 'ki', 'member', 'jepee']",populer ru da ho ki member jepee,0
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@AngelDiaz-v1c2m,Terpopuler GA RU DA HO KI Member baru pasti jepee❤,0,6 bulan yang lalu,50,terpopuler ga ru da ho ki member baru pasti jepee❤,terpopuler ga ru da ho ki member baru pasti jepee,terpopuler ga ru da ho ki member baru pasti jepee,"['terpopuler', 'ga', 'ru', 'da', 'ho', 'ki', 'member', 'baru', 'pasti', 'jepee']","['terpopuler', 'ru', 'da', 'ho', 'ki', 'member', 'jepee']","['populer', 'ru', 'da', 'ho', 'ki', 'member', 'jepee']",populer ru da ho ki member jepee,0
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@sofi4654,peminat terbanyakGA RU DA HO KIdi Indonesia❤,0,6 bulan yang lalu,44,peminat terbanyakga ru da ho kidi indonesia❤,peminat terbanyakga ru da ho kidi indonesia,peminat terbanyakga ru da ho kidi indonesia,"['peminat', 'terbanyakga', 'ru', 'da', 'ho', 'kidi', 'indonesia']","['peminat', 'terbanyakga', 'ru', 'da', 'ho', 'kidi', 'indonesia']","['minat', 'terbanyakga', 'ru', 'da', 'ho', 'kidi', 'indonesia']",minat terbanyakga ru da ho kidi indonesia,2
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@Sumit_G_mer,peminat terbanyakBAN TE NG HO KI KIdi Indonesia💛,0,6 bulan yang lalu,48,peminat terbanyakban te ng ho ki kidi indonesia💛,peminat terbanyakban te ng ho ki kidi indonesia,peminat terbanyakban te ng ho ki kidi indonesia,"['peminat', 'terbanyakban', 'te', 'ng', 'ho', 'ki', 'kidi', 'indonesia']","['peminat', 'terbanyakban', 'te', 'ng', 'ho', 'ki', 'kidi', 'indonesia']","['minat', 'terbanyakban', 'te', 'ng', 'ho', 'ki', 'kidi', 'indonesia']",minat terbanyakban te ng ho ki kidi indonesia,2
